1	-22.75	0.03
2	-6.5	0
3	-2.35	0
4	-5.55	0
5	-0.9	0
6	2.75	0
7	3.3	0
8	5.15	0
9	-3.9	0.02
10	-18.9	0.5
11	-28	0.06
12	-21.6	0.03
13	-6.45	0
14	-3.05	0
15	-11	0
16	-0.3	0
17	3.2	0
18	3.6	0
19	2.35	0
20	2.7	0
21	0.55	0
22	1	0
23	1.1	0
24	3.7	0
25	-0.25	0
26	-8.25	0
27	-12.35	0.05
28	-13.25	0.07
29	-2.35	0
30	2.2	0
31	-7.4	0.03
32	-14.45	0
33	-14.3	0.01
34	-17.45	0.38
35	-15.2	0.77
36	-19.65	0.15
37	-17.7	0.01
38	-14.5	0.12
39	-16.85	0.34
40	-24.2	0.03
41	-16.4	0
42	-19.65	0.02
43	-19.15	0.04
44	-0.15	0
45	-5.5	0.16
46	-12.25	0.02
47	-2.55	0.01
48	-9.75	0.26
49	-17.95	0.15
50	-22	0.03
51	-18.25	0
52	-15.65	0
53	-13.3	0
54	-13.2	0.01
55	-3.9	0.01
56	-1.75	0
57	-5	0
58	-2.15	0
59	-2.85	0
60	-7.1	0
61	-7.1	0.72
62	-13.45	0.04
63	-17.2	0.01
64	-16.25	0
65	-15.5	0.02
66	-13.45	0
67	-6.45	0.01
68	0.15	0
69	-1.35	0
70	-1.8	0
71	-3.3	0
72	0.5	0
73	-3.6	0
74	-2.85	0.81
75	-4.9	0.01
76	-1.3	0
77	-1.6	0
78	-1.25	0.05
79	2.1	0
80	3.7	0
81	-3.1	0.11
82	3.5	0.03
83	1.75	0.05
84	0.8	0.02
85	2.05	0
86	5.75	0.01
87	0	0.17
88	-1.3	0.01
89	-6.7	0.13
90	-10.8	0.05
91	-10.9	0.15
92	-13.4	0.27
93	-13.8	0.02
94	-7	0.03
95	-9.75	0.02
96	-10.55	0.02
97	-8.3	0.84
98	-6.8	0.11
99	-2.55	0
100	5.9	0
101	4.55	0
102	-1.45	0.32
103	3.3	0.1
104	8.6	0
105	7.65	0
106	1.55	1.03
107	4.8	0
108	4.35	0
109	6.4	0
110	9.6	0
111	9.6	0.03
112	5.3	0
113	5.7	0
114	11.15	0
115	9.35	0
116	11.25	0
117	13	0
118	15.05	0
119	9.85	0.01
120	9.75	0
121	9.3	0
122	9.6	0
123	12.35	0
124	17.65	0.03
125	14.05	0.12
126	15.75	0
127	17.65	0
128	16.2	0
129	9.9	0.21
130	9.75	0.09
131	6.95	0.05
132	10.35	0
133	14.05	0
134	16.7	0
135	19.45	0
136	19.1	0
137	12.25	0.17
138	8.95	0.73
139	9.1	0
140	14.45	0
141	15.9	0
142	16.7	0
143	18.1	0
144	19.65	0
145	21	0
146	18.3	0
147	18.15	0
148	19.55	0
149	16.65	0
150	15.15	0
151	9.85	0.82
152	12.5	1.58
153	16.1	0
154	16.95	0
155	18.5	0
156	13.4	0
157	15.35	0
158	17.4	0
159	20.7	0
160	17.15	0.47
161	12.95	0.23
162	12.9	0
163	14.9	0
164	16.7	0
165	13	0
166	13.6	0.53
167	13.45	0.79
168	14.2	0
169	13.7	0.3
170	16.8	0.02
171	16.85	0
172	19.25	0
173	18.6	0.15
174	15.7	0.19
175	19.6	0
176	19.95	0
177	16.2	0
178	15.35	0
179	15.6	0
180	14.55	0.44
181	14.3	0.01
182	17.5	0
183	12.55	0.27
